1;Айдабул; Акмолинская область 
2;Акколь; Акмолинская область 
3;Аксу; Акмолинская область 
4;Алексеевка; Акмолинская область 
5;Атбасар; Акмолинская область 
6;Баймурза; Акмолинская область 
7;Бурабай; Акмолинская область 
8;Державинск; Акмолинская область 
9;Ерейментау; Акмолинская область 
10;Запорожье; Акмолинская область 
11;Зеренда; Акмолинская область 
12;Кабанбай Батыр; Акмолинская область 
13;Кокшетау; Акмолинская область 
14;Куйгенжар; Акмолинская область 
15;Курское; Акмолинская область 
16;Макинск; Акмолинская область 
17;Максимовка; Акмолинская область 
18;Малиновка; Акмолинская область 
19;Новочеркаское; Акмолинская область 
20;Степногорск; Акмолинская область 
21;Талапкер; Акмолинская область 
22;Шортанды; Акмолинская область 
23;Щучинск; Акмолинская область 
24;Актобе; Актюбинская область 
25;Алга; Актюбинская область 
26;Батамшинский; Актюбинская область 
27;Кандыагаш; Актюбинская область 
28;Каргалинское; Актюбинская область 
29;Мартук; Актюбинская область 
30;Хромтау; Актюбинская область 
31;Шалкар; Актюбинская область 
32;Шубаркудук; Актюбинская область 
33;Эмба; Актюбинская область 
34;Абай; Алматинская область 
35;Азат; Алматинская область 
36;Актерек; Алматинская область 
37;Алатау; Алматинская область 
38;Алгабас; Алматинская область 
39;Алгабас; Алматинская область 
40;Алдабергенов; Алматинская область 
41;Алмалыбак; Алматинская область 
42;Байсерке; Алматинская область 
43;Бахтыбай; Алматинская область 
44;Бесагаш; Алматинская область 
45;Боралдай; Алматинская область 
46;Булакты; Алматинская область 
47;Декабрь; Алматинская область 
48;Екпенды; Алматинская область 
49;Екпенды; Алматинская область 
50;Енбекши; Алматинская область 
51;Ерменсай; Алматинская область 
52;Есик; Алматинская область 
53;Жана-Арна; Алматинская область 
54;Жаркент; Алматинская область 
55;Кабанбай; Алматинская область 
56;Каменка; Алматинская область 
57;Капчагай; Алматинская область 
58;Карабулак; Алматинская область 
59;Каскелен; Алматинская область 
60;Кемиртоган; Алматинская область 
61;Кендала; Алматинская область 
62;Кербулак; Алматинская область 
63;Ключи; Алматинская область 
64;Косозен; Алматинская область 
65;Маловодное; Алматинская область 
66;Мамыр; Алматинская область 
67;Мерке; Алматинская область 
68;Мухаметжан Туймебаева; Алматинская область 
69;Отеген Батыр; Алматинская область 
70;Мерей; Алматинская область 
71;Ынтымак; Алматинская область 
72;Первомайка; Алматинская область 
73;Бастобе; Алматинская область 
74;Саймасай; Алматинская область 
75;Сарыозек; Алматинская область 
76;Талгар; Алматинская область 
77;Талдыкорган; Алматинская область 
78;Текели; Алматинская область 
79;Теректы; Алматинская область 
80;Туздыбастау; Алматинская область 
81;Узынагаш; Алматинская область 
82;Умбеталы; Алматинская область 
83;Ушарал; Алматинская область 
84;Ушконыр (Шамалган); Алматинская область 
85;Уштобе; Алматинская область 
86;Фабричный; Алматинская область 
87;Чемолган; Алматинская область 
88;Чимбулак; Алматинская область 
89;Чунджа; Алматинская область 
90;Шелек; Алматинская область 
91;Шенгельды; Алматинская область 
92;Шынты; Алматинская область 
93;Алматы; Алматы 
94;Курылысши; Алматы 
95;Астана; Астана 
96;Акколь; Атырауская область 
97;Атырау; Атырауская область 
98;Ганюшкино; Атырауская область 
99;Жаскайрат; Атырауская область 
100;Кульсары; Атырауская область 
101;Махамбет; Атырауская область 
102;Тенгиз; Атырауская область 
103;Асу-Булак; Восточно-Казахстанская область 
104;Атыбай; Восточно-Казахстанская область 
105;Аягоз; Восточно-Казахстанская область 
106;Глубоков; Восточно-Казахстанская область 
107;Зайсан; Восточно-Казахстанская область 
108;Зыряновск; Восточно-Казахстанская область 
109;Кабалтау; Восточно-Казахстанская область 
110;Курчатов; Восточно-Казахстанская область 
111;Маканчи; Восточно-Казахстанская область 
112;Новая согра; Восточно-Казахстанская область 
113;Ново-Хайрузовка; Восточно-Казахстанская область 
114;Первомайский; Восточно-Казахстанская область 
115;Риддер; Восточно-Казахстанская область 
116;Семей; Восточно-Казахстанская область 
117;Семипалатинск; Восточно-Казахстанская область 
118;Серебрянск; Восточно-Казахстанская область 
119;Солнечное; Восточно-Казахстанская область 
120;Теремшамка; Восточно-Казахстанская область 
121;Тугул; Восточно-Казахстанская область 
122;Усть-Каменогорск; Восточно-Казахстанская область 
123;Шар; Восточно-Казахстанская область 
124;Шемонаиха; Восточно-Казахстанская область 
125;Айша-Биби; Жамбылская область 
126;Айша-Биби; Жамбылская область 
127;Ерназар; Жамбылская область 
128;Жанатас; Жамбылская область 
129;Каратау; Жамбылская область 
130;Кордай; Жамбылская область 
131;Кулан; Жамбылская область 
132;Мерке; Жамбылская область 
133;Б.Момышулы; Жамбылская область 
134;Степное; Жамбылская область 
135;Тараз; Жамбылская область 
136;Шу; Жамбылская область 
137;Шынты; Жамбылская область 
138;Аксай; Западно-Казахстанская область 
139;Актау; Западно-Казахстанская область 
140;Жангала; Западно-Казахстанская область 
141;Зачаганск; Западно-Казахстанская область 
142;Казталовка; Западно-Казахстанская область 
143;Каменка; Западно-Казахстанская область 
144;Переметное; Западно-Казахстанская область 
145;Переметное; Западно-Казахстанская область 
146;Сайхин; Западно-Казахстанская область 
147;Тайпак; Западно-Казахстанская область 
148;Трекино; Западно-Казахстанская область 
149;Уральск; Западно-Казахстанская область 
150;Федоровка; Западно-Казахстанская область 
151;Абай; Карагандинская область 
152;Агадырь; Карагандинская область 
